IN_COD,IN_pH,IN_SS,IN_NH,IN_TP,IN_TN,N-O-E_ORP,N-O-E_MLSS,N-O-E_DO,N_PO4,N-A_NH,N-O_NO,S-O-E_ORP,S-O-E_MLSS,S-O-E_DO,S_PO4,S-A_NH,S-O_NO,EF_COD,EF_SS,EF_NH,EF_TP,EF_TN,1#TMP,2#TMP,3#TMP,4#TMP,5#TMP,6#TMP,7#TMP,8#TMP,9#TMP,turbidity,date
359.2,7.14,258.47,47.92,4.63,54.04,6754.16,113.76,7523.27,0.22,0.21,8.68,8643.37,71.04,6409.28,0.39,0.22,8.89,11.7,0.18,0.01,0.1,8.21,12.14,18.32,21.3,21.23,24.74,20.97,16.72,0.17,0.37,0.08,2022/2/22 1:00
359.2,7.03,237.19,47.92,4.63,54.04,6735.85,112.62,8026.86,0.22,0.2,8.71,4884.79,68.67,6361.97,0.39,0.22,9.17,11.7,0.19,0.01,0.1,8.21,22.34,18.42,0.19,21.2,24.25,20.56,0.47,17.23,19.64,0.08,2022/2/22 2:00
369.4,6.97,210.9,45.11,4.88,58.37,6720.59,111.17,7916.98,0.22,0.2,8.84,8228.29,66.99,6433.69,0.41,0.22,8.97,11.8,0.19,0.01,0.09,8.82,22.2,18.27,22.28,21.34,23.89,20.72,16.52,17.16,19.51,0.09,2022/2/22 3:00
369.4,6.97,192.55,45.11,4.88,58.37,6737.37,106.67,7793.38,0.22,0,8.76,8151.99,60.51,6416.91,0.42,0.22,9.25,11.8,0.19,0.01,0.09,8.82,22.14,18.15,22.5,20.95,23.87,0.89,17.11,0.15,0.35,0.08,2022/2/22 4:00
339.1,6.96,168.33,41.86,4.87,61.39,6764.84,109.72,6659.55,0.22,0.22,8.49,8165.73,62.19,6334.5,0.44,0.22,8.83,12.7,0.18,0.01,0.09,8.62,22.3,18.27,22.51,21.21,0.03,20.78,16.41,16.81,19.4,0.44,2022/2/22 5:00
339.1,6.64,286.2,41.86,4.87,61.39,6775.52,110.48,7607.2,0.22,0.21,8.32,7701.82,62.11,6410.8,0.44,0.22,8.53,12.7,0.22,0.01,0.09,8.62,4.08,0.58,23.14,1.38,24.83,21.18,17.02,0.04,0.6,0.08,2022/2/22 6:00
397.4,6.88,189.75,53.4,5.16,56.73,6821.3,109.8,7474.44,0.22,0.18,8.25,7775.06,63.18,6191.06,0.46,0.22,8.91,12.3,0.23,0.02,0.07,9.74,22.94,19.01,0.31,0.75,0.13,21.41,0.62,0.13,0.38,0.08,2022/2/22 7:00
397.4,6.91,184.73,53.4,5.16,56.73,6816.73,99.27,7770.49,0.22,0.28,7.3,8055.85,55.78,6284.14,0.4,0.22,7.64,12.3,0.17,0.02,0.07,9.74,22.63,18.74,22.54,21.66,0.37,20.13,16.84,16.81,19.7,0.08,2022/2/22 8:00
218.7,7.04,207.59,52.13,4.62,56.19,6664.12,107.58,6677.86,0.21,0.19,7.02,8307.65,60.81,6444.38,0.39,0.22,7.2,11,0.22,0.01,0.08,8.28,22.47,18.6,22.83,21.52,0.28,1.33,16.59,17.03,19.28,0.15,2022/2/22 9:00
218.7,6.93,204.92,52.13,4.62,56.19,6642.76,109.03,6926.6,0.21,0.16,7.25,8162.67,61.35,6419.96,0.4,0.22,7.46,11,0.22,0.01,0.08,8.28,11.24,0.17,23.14,21.4,0.36,21.2,16.93,0.34,19.65,0.39,2022/2/22 10:00
315.8,6.93,218.98,47.27,4.7,56.73,6554.25,110.87,7862.05,0.22,0.12,7.41,8551.81,59.67,6407.75,0.42,0.22,7.46,12.5,0.22,0.02,0.08,8.37,23.22,19.52,22.65,22.23,0.34,21.57,20.41,0.59,20.42,0.08,2022/2/22 11:00
315.8,6.95,195.36,47.27,4.7,56.73,6612.24,109.11,7393.56,0.22,0.1,7.18,8585.38,47.23,6548.15,0.35,0.22,7.21,12.5,0.21,0.02,0.08,8.37,23.3,19.47,23.97,22.27,0.33,21.6,20.36,17.91,0.52,0.08,2022/2/22 12:00
279.9,6.94,166.71,42.57,4.44,55.61,6629.02,114.83,7617.88,0.22,0.13,7.11,8760.87,59.97,6566.46,0.35,0.22,7.12,11.9,0.2,0.02,0.08,8.3,23.36,19.82,23.93,22.17,0.35,1.11,21.04,0.23,20.61,0.08,2022/2/22 13:00
279.9,6.79,225.4,42.57,4.44,55.61,6635.13,111.02,7588.89,0.21,0.13,7.14,8461.77,62.03,6548.15,0.43,0.22,7.07,11.9,0.16,0.02,0.08,8.3,23.04,19.31,23.71,22.27,0.28,21.97,20.57,17.65,20.67,0.12,2022/2/22 14:00
469.8,6.98,284.09,44.43,5.31,56.74,6558.83,112.62,7761.33,0.22,0.13,7.2,8252.71,63.25,6529.83,0.41,0.22,7.06,12.2,0.19,0.01,0.07,9.68,3.72,0.43,24.87,23.2,0.3,22.71,21.36,0.24,20.89,0.12,2022/2/22 15:00
469.8,7.01,266.18,44.43,5.31,56.74,6593.93,114.15,8014.65,0.22,0,7.23,8394.63,62.41,6612.24,0.34,0.22,6.76,12.2,0.15,0.01,0.07,9.68,23.79,20,0.8,22.62,0.37,22.24,20.54,0.37,21.21,0.08,2022/2/22 16:00
349.1,6.91,218.07,51.61,4.87,55.18,6545.09,114.07,7320.31,0.22,0.21,7.21,8614.38,61.42,6560.35,0.34,0.22,7.02,11.4,0.15,0.01,0.07,9.03,23.62,19.57,24,22.55,0.32,21.16,20.59,17.93,20.92,0.08,2022/2/22 17:00
349.1,6.76,181.87,51.61,4.87,55.18,6481,114.22,7198.23,0.22,0.2,7.16,8696.78,60.96,6650.39,0.4,0.22,6.91,11.4,0.19,0.01,0.07,9.03,22.46,20,0.33,22.87,23.13,0.56,21.53,18.33,21.26,0.09,2022/2/22 18:00
359.7,6.73,158.91,45.51,4.7,54.07,6615.29,113.38,7242.48,0.22,0.2,7.46,8194.72,60.43,6448.96,0.49,0.22,7.3,12.2,0.18,0.01,0.07,7.59,23.54,20.95,25.97,24.38,27,23.03,0.96,19.54,22.41,0.09,2022/2/22 19:00
359.7,6.73,189.71,45.51,4.7,54.07,6658.02,113.23,7509.54,0.22,0.2,7.63,7923.09,61.35,6474.9,0.37,0.22,7.52,12.2,0.23,0.01,0.07,7.59,24.85,0.22,26.36,0.86,27.87,22.66,16.37,19.67,22.17,0.08,2022/2/22 20:00
287,6.73,203.8,42.35,5.01,54.92,6662.6,114.76,7585.84,0.22,0.17,7.68,4806.96,61.57,6595.45,0.38,0.22,7.75,10.3,0.27,0.01,0.08,7.63,27.13,21.18,26.08,24.31,27.28,0.9,16.62,0.28,22.53,0.09,2022/2/22 21:00
287,6.98,231.88,42.35,5.01,54.92,6712.96,114.68,7648.41,0.22,0.18,7.66,6506.94,60.74,6561.88,0.38,0.22,7.65,10.3,0.18,0.01,0.08,7.63,22.31,19.35,0.66,0.79,0.28,20.84,16.57,0.04,0.71,0.09,2022/2/22 22:00
292,6.98,305.65,47.15,5.01,56.24,6761.79,114.45,6835.04,0.22,0.17,7.63,7747.6,61.57,6516.1,0.38,0.22,7.72,11.3,0.16,0.01,0.08,8.7,21.9,18.8,22.79,21.05,23.46,20.14,15.96,16.86,19.66,0.12,2022/2/22 23:00
292,6.92,314.16,47.15,5.01,56.24,6835.04,113.54,7944.45,0.22,0.16,7.45,8245.08,60.74,6490.16,0.42,0.22,8.17,11.3,0.17,0.01,0.08,8.7,4.02,18.72,22.9,21.64,23.47,20.22,16.29,17.15,20.02,0.13,2022/2/23 0:00
313.1,6.84,263.375,57.08,4.94,57.21,6867.08,113.08,7852.89,0.22,0.17,7.54,8187.09,61.27,6494.74,0.39,0.22,8.3,12.2,0.2,0.01,0.08,8.88,22.35,19.01,22.85,21.34,23.54,0.91,16.8,0.21,0.55,0.09,2022/2/23 1:00
313.1,6.76,212.59,57.08,4.94,57.21,6888.45,113.84,7585.84,0.22,0.19,7.74,8710.51,61.42,6473.37,0.38,0.22,8.19,12.2,0.18,0.01,0.08,8.88,22.19,18.67,21.15,21.35,23.65,20.65,16.23,17.34,0.41,0.09,2022/2/23 2:00
369.3,6.76,196.39,49.74,5.08,58.86,6806.04,111.25,7007.48,0.22,0.24,7.75,8379.37,60.2,6441.32,0.43,0.22,8.42,14.7,0.22,0.01,0.08,8.93,22.41,19.52,4.37,21.52,0.04,21.22,0.46,0.16,0.45,0.1,2022/2/23 3:00
369.3,6.71,214.95,49.74,5.08,58.86,6998.32,114.53,8036.01,0.22,0,8.21,8493.82,60.89,6410.8,0.42,0.22,8.95,13.75,0.2,0.01,0.08,8.93,4.39,17.95,21.74,0.99,22.11,19.45,16.44,15.99,18.25,0.24,2022/2/23 4:00
301.7,6.66,171.95,43.92,4.97,54.93,6943.38,113.23,6796.89,0.22,0.26,8.04,8025.33,63.48,6398.6,0.43,0.22,8.81,12.8,0.18,0.02,0.08,9.68,21.42,17.63,21.17,20.07,22.07,19.55,0.41,16.36,0.54,0.08,2022/2/23 5:00
301.7,6.66,158.15,43.92,4.97,54.93,6944.91,115.6,7656.04,0.22,0.21,7.8,8417.52,63.94,6392.49,0.42,0.22,8.57,12.8,0.2,0.02,0.08,9.68,21.7,0.25,21.72,20.48,22.63,19.71,16.44,0.13,0.57,0.08,2022/2/23 6:00
237.2,6.89,120.47,21.96,4.78,55.04,6931.18,112.01,7808.64,0.22,0.16,7.55,8509.08,65.01,6343.66,0.4,0.22,8.37,11.1,0.19,0.01,0.08,9.11,21.44,17.8,21.19,20.18,22.15,0.81,16.39,16.12,18.24,0.08,2022/2/23 7:00
237.2,6.95,99.76,36.41,4.78,55.04,6902.18,114.99,7468.33,0.22,0.13,7.16,7990.23,63.86,6397.07,0.38,0.22,7.77,11.1,0.17,0.01,0.08,9.11,21.79,18.46,0.49,20.4,0.12,19.5,16.28,16.5,0.45,0.1,2022/2/23 8:00
219.9,6.92,7.22,50.86,4.26,54.18,6748.05,115.52,8261.87,0.22,0.12,7.13,8466.35,63.48,6479.48,0.36,0.22,7.68,12.6,0.19,0.01,0.08,8.29,4.27,18.73,22.34,4.86,0.05,19.57,16.26,16.26,18.49,0.1,2022/2/23 9:00
219.9,6.94,1.7,50.86,4.26,54.18,6770.94,115.06,6909.81,0.22,0.1,7.15,8379.37,64.02,6572.56,0.4,0.22,7.59,12.6,0.26,0.01,0.08,8.29,22.45,18.95,23.01,21.37,0.06,20.71,0.57,16.62,20.11,0.08,2022/2/23 10:00
206.6,7.46,1.64,46.37,4.36,51.8,6705.33,117.58,6902.18,0.22,0.09,7.02,8261.87,64.02,6569.51,0.37,0.22,7.39,12.4,0.23,0.02,0.07,8.37,22.92,0.57,23.84,0.6,0.1,0.98,17.09,18.28,19.83,0.18,2022/2/23 11:00
206.6,6.16,1.35,46.37,4.36,51.8,6683.96,112.47,7826.95,0.22,0.09,6.93,8715.09,57.68,6482.53,0.38,0.22,7.44,12.4,0.24,0.02,0.07,8.37,22.53,19.38,0.02,21.8,0.01,20.3,16.42,17.72,0.64,0.15,2022/2/23 12:00
206.6,5.765,1.38,36.43,3.8,53.49,6757.21,119.03,7648.41,0.22,0.08,7.06,8470.93,65.31,6665.65,0.4,0.22,7.45,11.6,0.22,0.01,0.07,7.17,6.91,19.14,23.57,21.54,0.01,20.96,16.85,0.2,19.85,0.24,2022/2/23 13:00
206.6,6.4325,1.35,36.43,3.8,53.49,6777.05,118.34,7219.59,0.22,0.08,7.06,7758.28,66,6630.55,0.42,0.22,7.5,11.6,0.2,0.01,0.07,7.17,22.36,18.94,23.16,21.51,0.04,20.7,16.02,17.28,19.63,0.08,2022/2/23 14:00
206.6,7.1,171.46,20.205,3.88,54.33,6653.44,118.88,7388.98,0.22,0.07,7.19,9243.09,66.76,6635.13,0.39,0.22,7.52,12.5,0.22,0.01,0.07,7.5,22.6,0.33,23.78,0.72,0.02,21.13,0.93,0.21,0.75,0.08,2022/2/23 15:00
330.7,7.09,154.69,30.1125,3.88,54.33,6674.81,120.1,7292.84,0.22,0,7.26,8678.47,67.68,6561.88,0.45,0.22,7.69,12.5,0.22,0.01,0.07,7.5,22.47,19.34,21.72,0.53,0,20.76,16.22,0.13,20.32,0.11,2022/2/23 16:00
268.1,6.84,186.02,40.02,4.59,54.58,6555.78,117.73,7726.23,0.22,0.07,7.5,9102.7,68.82,6598.5,0.49,0.22,7.8,12.3,0.19,0.01,0.06,8.42,22.5,19.13,3.4,21.28,0,20.5,16.07,17.31,19.82,0.19,2022/2/23 17:00
268.1,6.38,293.27,40.02,4.59,54.58,6679.38,122.77,7616.36,0.22,0.09,7.4,9113.38,68.29,6627.5,0.34,0.22,7.66,12.3,0.19,0.01,0.06,8.42,21.65,0.1,21.95,20.76,22.47,20.05,10.06,16.46,19.22,0.11,2022/2/23 18:00
487.95,6.8,73.5,45.72,5.33,60.67,6688.54,120.48,7115.82,0.22,0.11,7.69,8770.03,67.53,6632.08,0.45,0.22,7.95,11.5,0.19,0.02,0.06,6.98,22.36,5.81,22.85,21.45,21.78,20.31,18.01,17.19,19.59,0.11,2022/2/23 19:00
416.775,6.89,136.18,45.72,5.2,60.67,6763.31,121.47,6844.19,0.22,0.19,7.68,6976.96,67.83,6537.46,0.48,0.22,7.72,11.5,0.21,0.02,0.06,6.98,22.88,17.74,0.62,21.7,21.79,1.07,18.48,0.3,20.28,0.09,2022/2/23 20:00
345.6,6.94,89.9,38.2,5.07,57.12,6943.38,118.88,7092.93,0.22,0.27,7.64,9035.56,67.14,6552.72,0.39,0.22,7.98,11.6,0.24,0.01,0.07,8.29,4.1,18.12,0.24,21.91,9.45,20.74,18.23,17.09,19.77,0.1,2022/2/23 21:00
345.6,6.99,16.53,38.2,5.07,57.12,6761.79,117.88,7341.68,0.22,0.28,7.59,8576.22,65.7,6645.81,0.4,0.22,8,11.6,0.19,0.01,0.07,8.29,22.94,17.93,0.19,0.86,0.11,21.09,0.85,0.14,0.61,0.08,2022/2/23 22:00
262.3,6.99,96.29,33.02,4.94,58.81,6915.92,117.96,7617.88,0.22,0.21,7.5,8461.77,66.15,6491.68,0.44,0.22,8.21,11.4,0.23,0.02,0.07,8.6,22.91,4.51,22.29,0.68,21.91,20.31,18.71,17.24,19.63,0.24,2022/2/23 23:00
262.3,6.94,129.96,33.02,4.94,58.81,6835.04,116.44,7601.1,0.22,0.2,7.16,8919.58,65.01,6688.54,0.35,0.22,7.59,11.4,0.23,0.02,0.07,8.6,22.61,17.51,21.88,20.94,22.06,15.84,18.78,0.01,0.62,0.08,2022/2/24 0:00
311.8,6.9,86.98,39.76,5.1,58.44,6983.06,116.59,7631.62,0.22,0.17,7.64,7887.99,64.78,6557.3,0.44,0.22,8.33,11.8,0.23,0.02,0.08,11.15,22.28,17.5,21.85,20.74,21.69,21.14,18.64,0.09,0.44,0.08,2022/2/24 1:00
311.8,6.89,1.46,39.76,5.1,58.44,7010.53,117.5,7239.43,0.22,0.18,7.59,8054.33,64.32,6531.36,0.38,0.22,8.09,11.8,0.2,0.02,0.08,11.15,3.63,18.44,0.57,21.29,2.45,21.22,18.97,17.28,13.6,0.08,2022/2/24 2:00
309.7,6.85,111.76,39.28,5.16,58.32,6986.11,117.43,7956.66,0.22,0.19,7.71,8799.02,63.71,6502.37,0.4,0.22,8.47,12.7,0.25,0.01,0.08,9.72,22.43,17.13,22.23,21.19,22.12,20.98,18.9,0.24,0.7,0.11,2022/2/24 3:00
309.7,6.87,105.9,39.28,5.16,58.32,6960.17,115.6,7179.92,0.22,0,7.96,8634.21,63.79,6545.09,0.48,0.22,8.58,12.7,0.25,0.01,0.08,9.72,22.6,0.22,22.69,21.06,22.47,20.99,11.45,0.14,0.58,0.08,2022/2/24 4:00
291.5,6.88,71.72,35.05,5.16,58.09,7050.21,116.21,7437.81,0.22,0.23,7.84,8408.36,63.41,6503.89,0.4,0.22,8.63,9.7,0.23,0.01,0.08,8.1,22.55,0.38,22.71,21.28,22.48,19.47,18.71,0.13,20.03,0.08,2022/2/24 5:00
291.5,6.64,9.71,35.05,5.16,58.09,7009,116.28,7677.4,0.22,0.22,8.05,6433.69,63.41,6432.17,0.42,0.22,8.47,9.7,0.2,0.01,0.08,8.1,3.95,17.27,21.49,20.99,22.31,21,18.41,17.38,0.29,0.08,2022/2/24 6:00
345,6.9,4.61,30.4,5.46,63.15,7028.84,116.59,7724.71,0.22,0.21,7.82,6427.59,64.02,6473.37,0.43,0.22,8.45,12.7,0.23,0.01,0.08,8.71,22.56,17.43,22.77,21.18,0.33,20.86,18.79,0.01,0.29,0.08,2022/2/24 7:00
345,6.96,60.39,30.4,5.46,63.15,6973.9,117.88,7300.47,0.22,0.21,7.61,8748.67,65.01,6442.85,0.42,0.22,8.21,12.7,0.22,0.01,0.08,8.71,22.7,17.61,0.45,21.27,22.24,20.78,18.51,0.2,0.51,0.08,2022/2/24 8:00
226.4,7.02,52.4,40.78,4.68,55.59,7019.69,117.27,7801.01,0.22,0.2,7.11,6976.96,63.56,6276.51,0.43,0.22,7.85,12.4,0.2,0.02,0.08,8.31,22.64,17.37,0.54,21.05,22.26,20.8,1.35,17.01,18.96,0.11,2022/2/24 9:00
226.4,7.01,5.63,40.78,4.68,55.59,6882.34,118.04,7759.8,0.22,0.14,6.99,8263.39,64.47,6574.09,0.41,0.22,7.5,12.4,0.23,0.02,0.08,8.31,23.12,0.12,0.49,21.48,9.13,0.76,19.19,17.67,0.42,0.2,2022/2/24 10:00
194.2,7,94.39,34.5,4.42,52.2,6821.3,116.59,7781.17,0.21,0.12,6.83,9124.07,58.52,6561.88,0.37,0.22,7.41,11.6,0.2,0.01,0.08,9.11,22.82,17.57,0.42,21.2,22.35,21.16,18.94,17.19,19.21,0.1,2022/2/24 11:00
194.2,6.89,104.29,34.5,4.42,52.2,6830.46,120.63,8048.22,0.22,0.12,6.81,8736.46,62.11,6717.53,0.38,0.22,7.47,11.6,0.2,0.01,0.08,9.11,23.02,17.9,0.41,21.43,22.94,21.12,18.99,13.04,19.63,0.17,2022/2/24 12:00
123.6,6.71,125.57,28.35,4.51,52.05,6734.32,122.23,7985.66,0.22,0.12,7.05,8821.91,65.16,6687.01,0.41,0.22,7.61,13.1,0.23,0.01,0.08,7.48,22.73,17.68,0.54,6.43,22.39,20.62,17.79,17.12,19.38,0.1,2022/2/24 13:00
123.6,7,61.36,28.35,4.51,52.05,6781.63,119.03,7579.73,0.22,0.12,6.88,6297.88,64.55,6738.9,0.37,0.22,7.32,13.1,0.23,0.01,0.08,7.48,22.61,17.75,0.56,21.35,22.38,21.08,1.16,17.43,19.09,0.14,2022/2/24 14:00
228.5,6.99,3.61,15.675,4.69,55.44,6735.85,119.72,8051.27,0.22,0.18,6.72,8850.91,62.95,6766.37,0.39,0.22,7.02,11.9,0.2,0.02,0.08,9.49,22.79,0.1,0.38,21.77,22.94,0.77,18.73,17.52,19.78,0.08,2022/2/24 15:00
228.5,6.97,107.69,8.6825,4.69,55.44,6722.11,118.88,7764.38,0.22,0,7.15,8470.93,63.41,6749.58,0.38,0.22,7.74,11.9,0.17,0.02,0.08,9.49,4.32,18.03,0.38,21.68,23.1,21.23,19.24,0.04,19.83,0.11,2022/2/24 16:00
242.4,6.81,143.01,22.39125,4.94,56.56,6728.22,118.65,7566,0.22,0.17,7.09,8588.43,64.02,6812.15,0.38,0.22,7.71,12,0.17,0.01,0.07,8.27,4.05,18.63,0.37,1.14,19.43,21.2,19.32,17.56,19.75,0.21,2022/2/24 17:00
242.4,6.74,74.51,36.1,4.94,56.56,6674.81,121.09,7480.54,0.22,0.17,7.18,7717.08,64.7,6806.04,0.37,0.22,7.76,12,0.17,0.01,0.07,8.27,3.69,17.57,21.51,24.01,26.96,23.42,1.09,19.83,21.5,0.09,2022/2/24 18:00
390.8,6.78,14.92,40.21,5.71,58.41,6966.27,121.39,7659.09,0.22,0.19,7.14,7878.83,63.48,6828.93,0.39,0.22,7.47,10.3,0.22,0.01,0.07,7.87,22.95,17.23,0.12,22.48,24.94,21.64,18.78,0.1,21.12,0.07,2022/2/24 19:00
390.8,6.78,93.2,40.21,5.71,58.41,6923.55,120.25,5016.02,0.22,0.28,7.74,6700.75,63.25,6662.6,0.42,0.22,8.38,10.3,0.21,0.01,0.07,7.87,23.46,0.18,20.87,0.6,25.39,21.84,18.98,0.15,0.66,0.08,2022/2/24 20:00
352.1,6.86,95.12,35.2,5.08,53.58,7059.36,121.17,7337.1,0.22,0.31,7.8,8502.98,65.16,6639.71,0.51,0.22,8.57,11.7,0.18,0.01,0.08,9.24,21.27,17.37,20.3,19.38,21.83,19.76,18.7,0.22,17.62,0.09,2022/2/24 21:00
352.1,6.89,160.85,35.2,5.08,53.58,7028.84,121.09,7199.76,0.22,0.26,7.5,7529.38,65.31,6538.99,0.45,0.22,8.36,11.7,0.16,0.01,0.08,9.24,3.46,18.5,21.46,0.7,19.31,20.13,19.32,0.21,0.58,0.08,2022/2/24 22:00
278.5,6.85,5.24,42.6,5.12,55.26,7092.93,121.85,7424.08,0.22,0.2,7.6,8194.72,67.53,6615.29,0.46,0.22,8.48,10.3,0.17,0.01,0.08,8.33,21.55,17.61,17.19,19.67,22.1,19.55,18.6,0.15,18.1,0.08,2022/2/24 23:00
278.5,6.81,31.56,42.6,5.12,55.26,6998.32,122.31,7553.79,0.22,0.16,7.26,7916.98,67.37,6624.45,0.4,0.22,8.16,10.3,0.16,0.01,0.08,8.33,21.41,17.47,20.97,20.07,0.21,19.53,18.78,16.23,0.39,0.07,2022/2/25 0:00
291.9,6.75,102.15,44.39,5.23,55.58,6961.7,120.1,7744.54,0.22,0.15,7.33,8799.02,66.99,6650.39,0.46,0.22,8.28,11.7,0.2,0.01,0.08,9.4,21.84,17.82,20.79,20.09,0.06,19.48,18.69,16.35,0.48,0.18,2022/2/25 1:00
291.9,6.73,110.6,44.39,5.23,55.58,6995.27,121.47,6954.07,0.22,0.15,7.5,6525.26,65.85,6622.92,0.44,0.22,8.3,11.7,0.19,0.01,0.08,9.4,21.51,17.98,0.5,19.99,22.21,20.05,19.37,0.1,0.52,0.08,2022/2/25 2:00
333.4,6.75,120.81,39.06,5.5,64.87,7126.51,120.02,8708.99,0.22,0.16,7.66,8335.11,67.53,6552.72,0.52,0.22,8.58,11.2,0.18,0.02,0.08,7.46,8.74,17.44,20.75,19.67,22.03,19.63,18.85,0.14,0.54,0.07,2022/2/25 3:00
333.4,6.75,104.81,39.06,5.5,64.87,7092.93,123.76,7822.37,0.22,0,7.54,8866.17,68.75,6423.01,0.63,0.22,8.62,11.2,0.17,0.02,0.08,7.46,21.38,17.85,20.85,19.79,0.3,20.02,0.86,0.58,0.45,0.28,2022/2/25 4:00
431.6,6.79,107.88,41.35,5.46,65.96,6943.38,124.22,8278.65,0.22,0.18,7.76,8860.06,69.43,6548.15,0.85,0.22,8.72,11.7,0.2,0.01,0.08,10.58,4.13,18.01,21.22,20.18,0.25,19.83,19.06,0.21,0.52,0.07,2022/2/25 5:00
431.6,6.86,93.72,43.64,5.46,65.96,7123.45,116.51,7889.52,0.21,0.31,5.6,8638.79,63.71,6549.67,0.43,0.22,5.83,11.7,0.19,0.01,0.08,10.58,22.11,0.04,21.76,4.62,0.13,0.91,19.4,0,0.92,0.08,2022/2/25 6:00
282.9,6.89,148.84,54.77,5.03,57,7031.89,124.75,8086.37,0.22,0.13,7.1,8411.42,63.25,6436.75,0.4,0.22,7.5,12.5,0.2,0.01,0.07,10.35,21.5,18,0.47,20.12,0.06,19.55,18.71,16.1,0.4,0.07,2022/2/25 7:00
282.9,6.98,122.63,54.77,5.03,57,6880.82,114.53,7086.83,0.21,0.21,6.38,8747.14,59.67,6543.57,0.4,0.22,6.95,12.5,0.16,0.01,0.07,10.35,21.42,17.38,20.75,19.88,21.25,2.87,18.89,16.04,17.67,0.08,2022/2/25 8:00
249.5,7.02,42.64,47.99,4.61,54.28,7053.26,120.1,8138.26,0.21,0.11,6.37,8473.98,64.7,6552.72,0.39,0.22,6.93,13.8,0.18,0.02,0.07,7.31,4.39,17.93,20.94,19.96,0.01,19.94,0.79,16.04,18.3,0.21,2022/2/25 9:00
249.5,7.17,0.71,47.99,4.61,54.28,6879.29,124.29,7314.21,0.21,0.1,6.8,6413.86,64.78,6676.33,0.46,0.22,6.99,13.8,0.19,0.02,0.07,7.31,21.35,17.24,20.8,19.7,0.08,19.51,18.58,15.95,18.06,0.14,2022/2/25 10:00
286.8,7.01,165.32,34.61,4.74,56.42,6842.67,125.59,7964.29,0.22,0.07,6.82,8448.04,65.16,6590.87,0.41,0.22,7,13,0.2,0.02,0.08,8.32,21.95,8.29,21.13,0.48,0.12,19.87,18.63,16.13,17.94,0.17,2022/2/25 11:00
286.8,7.04,181.86,34.61,4.74,56.42,6847.25,127.73,7947.5,0.21,0.07,6.79,9069.13,66.15,6789.26,0.36,0.22,6.89,13,0.22,0.02,0.08,8.32,21.53,17.76,20.82,19.74,0.09,19.52,18.75,16.17,18.18,0.16,2022/2/25 12:00
303.7,7.07,130.62,37.61,4.44,53.56,6825.88,128.64,7926.14,0.22,0.09,6.7,8937.89,67.6,6850.3,0.38,0.22,6.93,10.3,0.2,0.01,0.07,7.45,21.93,18.2,0.73,20.43,0.03,20.5,19.55,3.19,18.48,0.1,2022/2/25 13:00
303.7,7.09,157.07,37.61,4.44,53.56,6781.63,125.97,7161.61,0.22,0.09,6.95,5476.88,66.23,6831.99,0.35,0.22,6.95,10.3,0.2,0.01,0.07,7.45,21.83,18.45,21.57,0.88,0.04,20,1.2,12.76,18.29,0.08,2022/2/25 14:00
236.9,7.06,136.03,42.69,4.6,52.28,6807.57,125.82,7918.51,0.22,0.09,7.09,8734.93,65.39,6824.35,0.39,0.22,7.25,12.7,0.26,0.01,0.07,7.26,4.12,18.31,21.95,21.01,0.02,20.15,19.7,17.1,0.64,0.15,2022/2/25 15:00
236.9,6.97,119.34,42.69,4.6,52.28,6784.68,126.51,6371.13,0.22,0,7.21,7739.97,66.15,6789.26,0.38,0.22,7.39,12.7,0.18,0.01,0.07,7.26,22.01,0.12,21.84,20.95,0.09,20.07,19.61,16.61,18.62,0.12,2022/2/25 16:00
306.5,6.9,112.92,35.45,4.92,54.08,6804.52,127.65,7729.28,0.22,0.1,7.43,8832.6,66.23,6801.47,0.41,0.22,7.45,11.5,0.18,0.01,0.06,6.8,24.59,20.05,20.27,20.74,0.07,0.91,19.66,16.72,18.99,0.09,2022/2/25 17:00
306.5,6.52,166.46,35.45,4.92,54.08,6871.66,123.15,7379.83,0.22,0.12,7.63,8582.33,65.62,6798.41,0.39,0.22,7.67,11.5,0.16,0.01,0.06,6.8,24.44,19.69,21.11,0.97,21.41,18.53,18.97,17.66,19.39,0.08,2022/2/25 18:00
490.7,6.81,173.15,39,5.63,59.28,6931.18,125.9,7259.27,0.22,0.15,7.49,8101.63,64.93,6740.42,0.37,0.22,7.36,10.5,0.18,0.01,0.06,7,24.34,19.99,21.33,0.6,0.14,20.15,18.88,0.18,0.52,0.08,2022/2/25 19:00
490.7,6.9,172.13,39,5.63,59.28,6918.97,125.97,7938.35,0.22,0.21,7.3,8962.31,64.09,6647.34,0.4,0.22,7.09,10.5,0.15,0.01,0.06,7,4.93,19.7,20.7,20.76,21.8,19.78,18.72,0.27,19.29,0.08,2022/2/25 20:00
256.2,6.89,158.02,51.7,4.96,55.74,7019.69,125.36,8144.36,0.22,0.25,7.21,7494.28,64.47,6589.35,0.38,0.22,7.27,13.1,0.04,0.01,0.07,9.31,22.61,19.42,20.58,20.65,21.58,19.73,19.05,0.26,19.59,0.07,2022/2/25 21:00
256.2,6.85,119.02,51.7,4.96,55.74,7187.55,125.36,7697.24,0.22,0.19,7.13,8425.15,65.47,6735.85,0.4,0.22,7.22,13.1,0.03,0.01,0.07,9.31,1.94,0.23,21.81,0.49,0.02,20.23,19.25,0.05,0.27,0.08,2022/2/25 22:00
